table,year,class,measure,type,estimate
101,2015,W9_21,3,1,117236098
101,2015,W9_22,3,1,110465849
101,2015,W9_23,3,1,102650611
101,2015,W9,3,1,362092026
101,2015,W10,3,1,5194439
101,2015,W11,3,1,5610350
101,2015,W12,3,1,56517914
101,2015,W13,3,1,14732178
101,2015,W14,3,1,590456508
101,2015,W15,3,1,1204711814
101,2015,W16,3,1,95596975
101,2015,W17,3,1,35701868
101,2015,W18,3,1,634655
101,2015,W19,3,1,8437931
101,2015,W20,3,1,9788281
101,2015,W21,3,1,150159710
101,2015,W22,3,1,1054552104
101,2015,W1T,3,1,451631505
101,2015,W2T,3,1,145928885
101,2015,W16T,3,1,107256393
101,2015,W17T,3,1,43223065
101,2015,W1,3,2,5.1
101,2015,W2,3,2,16.5
101,2015,W3,3,2,3.4
101,2015,W4,3,2,17.4
101,2015,W5,3,2,4.5
101,2015,W6,3,2,13.3
101,2015,W7,3,2,42.6
101,2015,W8,3,2,36.8
101,2015,W9_1,3,2,52.6
101,2015,W9_21,3,2,19.9
101,2015,W9_22,3,2,45.9
101,2015,W9_23,3,2,42.4
101,2015,W9,3,2,21.3
101,2015,W10,3,2,30.6
101,2015,W11,3,2,31.9
101,2015,W12,3,2,7.8
101,2015,W13,3,2,36
101,2015,W14,3,2,13.9
101,2015,W15,3,2,7
101,2015,W16,3,2,7.8
101,2015,W17,3,2,17.4
101,2015,W18,3,2,37
101,2015,W19,3,2,12.3
101,2015,W20,3,2,23.8
101,2015,W21,3,2,6.7
101,2015,W22,3,2,7.9
101,2015,W1T,3,2,5.7
101,2015,W2T,3,2,15.5
101,2015,W16T,3,2,11
101,2015,W17T,3,2,17.7
101,2015,W1,3,3,
101,2015,W2,3,3,
101,2015,W3,3,3,
101,2015,W4,3,3,
101,2015,W5,3,3,
101,2015,W6,3,3,
101,2015,W7,3,3,
101,2015,W8,3,3,
101,2015,W9_1,3,3,
101,2015,W9_21,3,3,
101,2015,W9_22,3,3,
101,2015,W9_23,3,3,
101,2015,W9,3,3,
101,2015,W10,3,3,
101,2015,W11,3,3,
101,2015,W12,3,3,
101,2015,W13,3,3,
101,2015,W14,3,3,
101,2015,W15,3,3,
101,2015,W16,3,3,
101,2015,W17,3,3,
101,2015,W18,3,3,
101,2015,W19,3,3,
101,2015,W20,3,3,
101,2015,W21,3,3,
101,2015,W22,3,3,
101,2015,W1T,3,3,
101,2015,W2T,3,3,
101,2015,W16T,3,3,
101,2015,W17T,3,3,
101,2015,W1,3,4,
101,2015,W2,3,4,
101,2015,W3,3,4,
101,2015,W4,3,4,
101,2015,W5,3,4,
101,2015,W6,3,4,
101,2015,W7,3,4,
101,2015,W8,3,4,
101,2015,W9_1,3,4,
101,2015,W9_21,3,4,
101,2015,W9_22,3,4,
101,2015,W9_23,3,4,
101,2015,W9,3,4,
101,2015,W10,3,4,
101,2015,W11,3,4,
101,2015,W12,3,4,
101,2015,W13,3,4,
101,2015,W14,3,4,
101,2015,W15,3,4,
101,2015,W16,3,4,
101,2015,W17,3,4,
101,2015,W18,3,4,
101,2015,W19,3,4,
101,2015,W20,3,4,
101,2015,W21,3,4,
101,2015,W22,3,4,
101,2015,W1T,3,4,
101,2015,W2T,3,4,
101,2015,W16T,3,4,
101,2015,W17T,3,4,
101,2015,W1,4,1,860
101,2015,W2,4,1,235
101,2015,W3,4,1,1664
101,2015,W4,4,1,439
101,2015,W5,4,1,1668
101,2015,W6,4,1,1064
101,2015,W7,4,1,73
101,2015,W8,4,1,180
101,2015,W9_1,4,1,221
101,2015,W9_21,4,1,149
101,2015,W9_22,4,1,61
101,2015,W9_23,4,1,186
101,2015,W9,4,1,448
101,2015,W10,4,1,39
101,2015,W11,4,1,91
101,2015,W12,4,1,1092
101,2015,W13,4,1,169
101,2015,W14,4,1,1500
101,2015,W15,4,1,1668
101,2015,W16,4,1,485
101,2015,W17,4,1,140
101,2015,W18,4,1,141
101,2015,W19,4,1,339
101,2015,W20,4,1,747
101,2015,W21,4,1,1111
101,2015,W22,4,1,1672
101,2015,W1T,4,1,978
101,2015,W2T,4,1,275
101,2015,W16T,4,1,504
101,2015,W17T,4,1,154
101,2015,W1,4,2,3.4
101,2015,W2,4,2,8.2
101,2015,W3,4,2,0.5
101,2015,W4,4,2,6.3
101,2015,W5,4,2,0.2
101,2015,W6,4,2,3.6
101,2015,W7,4,2,17.1
101,2015,W8,4,2,9.9
101,2015,W9_1,4,2,10.9
101,2015,W9_21,4,2,12.2
101,2015,W9_22,4,2,18.9
101,2015,W9_23,4,2,11.1
101,2015,W9,4,2,6.4
101,2015,W10,4,2,21.3
101,2015,W11,4,2,13.5
101,2015,W12,4,2,2.2
101,2015,W13,4,2,9.9
101,2015,W14,4,2,1.1
101,2015,W15,4,2,0.2
101,2015,W16,4,2,5.1
101,2015,W17,4,2,11.4
101,2015,W18,4,2,12.9
101,2015,W19,4,2,6.1
101,2015,W20,4,2,4.6
101,2015,W21,4,2,2.5
101,2015,W22,4,2,0
101,2015,W1T,4,2,2.8
101,2015,W2T,4,2,7.6
101,2015,W16T,4,2,4.7
101,2015,W17T,4,2,11
101,2015,W1,4,3,
101,2015,W2,4,3,
101,2015,W3,4,3,
101,2015,W4,4,3,
101,2015,W5,4,3,
101,2015,W6,4,3,
101,2015,W7,4,3,
101,2015,W8,4,3,
101,2015,W9_1,4,3,
101,2015,W9_21,4,3,
101,2015,W9_22,4,3,
101,2015,W9_23,4,3,
101,2015,W9,4,3,
101,2015,W10,4,3,
101,2015,W11,4,3,
101,2015,W12,4,3,
101,2015,W13,4,3,
101,2015,W14,4,3,
101,2015,W15,4,3,
101,2015,W16,4,3,
101,2015,W17,4,3,
101,2015,W18,4,3,
101,2015,W19,4,3,
101,2015,W20,4,3,
101,2015,W21,4,3,
101,2015,W22,4,3,
101,2015,W1T,4,3,
101,2015,W2T,4,3,
101,2015,W16T,4,3,
101,2015,W17T,4,3,
101,2015,W1,4,4,
101,2015,W2,4,4,
101,2015,W3,4,4,
101,2015,W4,4,4,
101,2015,W5,4,4,
101,2015,W6,4,4,
101,2015,W7,4,4,
101,2015,W8,4,4,
101,2015,W9_1,4,4,
101,2015,W9_21,4,4,
101,2015,W9_22,4,4,
101,2015,W9_23,4,4,
101,2015,W9,4,4,
101,2015,W10,4,4,
